term,count
england,25
london,24
church,24
english,24
lord,23
god,23
thomas,22
great,21
late,21
life,20
true,20
preached,19
christian,19
king,19
christ,18
sir,18
made,18
john,17
parliament,16
history,16
treatise,16
present,16
religion,15
des,15
day,15
year,14
state,14
general,14
william,14
account,13
discourse,13
act,13
honourable,12
den,12
di,12
death,12
called,12
answer,11
vpon,11
written,11
french,11
book,11
holy,10
le,10
booke,10
house,10
proclamation,10
edition,10
und,10
die,9
lords,9
collection,9
st,9
libri,9
dr,9
iohn,9
esq,9
essay,8
sic,8
court,8
ireland,8
works,8
sermons,7
del,7
lorde,7
james,7
en,7
part,7
scotland,7
relation,7
set,7
case,7
cum,7
boke,7
letters,7
van,7
majesties,6
county,6
ye,6
city,6
maiestie,6
observations,6
psalmes,6
common,6
ende,6
kings,6
declaration,6
ii,6
certaine,6
added,6
treatyse,5
man,5
begynneth,5
godly,5
george,5
briefe,5
henry,5
majesty,5
verse,5
historie,5
remarks,5
yere,4
queen,4
commons,4
liber,4
france,4
majestys,4
short,4
vnto,4
reverend,4
queene,4
america,4
newe,4
woodcuts,4
ein,4
englande,4
kynge,4
ac,4
catalogue,3
queenes,3
maiesties,3
learned,3
public,3
address,3
bible,3
excellent,3
dem,3
das,3
rev,3
newly,3
text,3
earl,3
latin,3
christen,3
britain,3
speech,3
whiche,3
englishe,3
preachd,3
gods,3
people,3
assembly,3
faith,3
kynges,3
certayne,2
christi,2
men,2
published,2
generall,2
army,2
englyshe,2
united,2
end,2
hoc,2
acts,2
martini,2
vita,2
petition,2
society,2
epistle,2
moste,2
xf010,2
englysshe,2
contra,2
vindication,2
recto,2
states,2
latine,2
proceedings,2
session,2
humbly,2
du,2
lyfe,2
nature,2
reasons,2
churche,2
quene,2
epistola,2
luther,2
viii,2
durch,2
henrici,2
humble,2
prince,2
profitable,2
royal,2
begin,2
exposition,2
relating,2
prayer,2
oratio,2
congress,2
quenes,1
assembled,1
incipit,1
severall,1
presented,1
fairfax,1
1660,1
conduct,1
sermones,1
vnif,1
les,1
psalme,1
wie,1
love,1
woodcut,1
vii,1
auff,1
statutes,1
company,1
md,1
high,1
1798,1
council,1
david,1
ordinance,1
sig,1
vnnd,1
kingdome,1
held,1
byble,1
committee,1
yeare,1
good,1
articles,1
commonwealth,1
ryght,1
auch,1
houses,1
lytell,1
qui,1
british,1
ist,1
american,1
testament,1
prymer,1
commissioners,1
spanish,1
eiusdem,1
martinus,1
wittemberg,1
gottes,1
forces,1
mit,1
province,1
lutheri,1
luthers,1
libellus,1
laten,1
charles,1
seuen,1
saints,1
scripture,1
da,1
famous,1
report,1
alexander,1
primo,1
view,1
magistri,1
1775,1
1776,1
1642,1
protector,1
con,1
wider,1
union,1
oder,1
realme,1
1641,1
maner,1
domini,1
ain,1
vom,1
im,1
doctor,1
answers,1
named,1
eyn,1
1774,1
interprete,1
verso,1
cui,1
kingdom,1
earle,1
martin,1
ioannis,1
delivered,1
est,1
auss,1
foloweth,1
aiEUR,1
super,1
remonstrance,1
zui,1
opus,1
erasmi,1
protestant,1
ab,1
al,1
bishop,1
peace,1
sich,1
tractatus,1
bookes,1
narrative,1
